group,value
control,1
control,1
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,1
control,0
control,1
control,1
control,0
control,1
control,1
control,0
control,0
control,0
control,1
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,1
control,1
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,1
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,1
control,0
control,0
control,0
control,1
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,1
control,0
control,0
control,1
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,1
control,0
control,0
control,0
control,0
control,1
control,1
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,1
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,1
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,1
control,0
control,1
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,1
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,1
control,1
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,1
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,1
control,0
control,0
control,1
control,0
control,0
control,1
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,1
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,1
control,0
control,1
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,1
control,0
control,1
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,1
control,0
control,0
control,0
control,0
control,1
control,1
control,0
control,1
control,0
control,1
control,1
control,0
control,0
control,1
control,0
control,0
control,0
control,1
control,0
control,1
control,1
control,0
control,1
control,1
control,0
control,0
control,1
control,1
control,1
control,0
control,0
control,0
control,1
control,0
control,1
control,1
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,1
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,1
control,1
control,0
control,1
control,1
control,0
control,0
control,1
control,0
control,1
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,1
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,1
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,1
control,1
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,1
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,1
control,1
control,0
control,0
control,0
control,0
control,0
control,1
control,1
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,1
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,1
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,1
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
